system:index,area,class_id,file,territory,year,.geo
0_0_0,3146851.927628194,3,CERRADO_sentinel_gapfill_temporal_v2,1,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_1,1324805.3542315045,4,CERRADO_sentinel_gapfill_temporal_v2,1,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_2,186313.82413177766,11,CERRADO_sentinel_gapfill_temporal_v2,1,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_3,173996.28485862564,12,CERRADO_sentinel_gapfill_temporal_v2,1,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_4,122848.60397392542,21,CERRADO_sentinel_gapfill_temporal_v2,1,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_5,205151.89324070548,25,CERRADO_sentinel_gapfill_temporal_v2,1,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_6,522477.60040145746,33,CERRADO_sentinel_gapfill_temporal_v2,1,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_0,2530101.2026230725,3,CERRADO_sentinel_gapfill_temporal_v2,2,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_1,873012.2222714942,4,CERRADO_sentinel_gapfill_temporal_v2,2,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_2,136312.62452552223,11,CERRADO_sentinel_gapfill_temporal_v2,2,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_3,107917.48967354212,12,CERRADO_sentinel_gapfill_temporal_v2,2,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_4,1425838.627470805,21,CERRADO_sentinel_gapfill_temporal_v2,2,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_5,31565.73293172281,25,CERRADO_sentinel_gapfill_temporal_v2,2,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_6,11251.249196443725,33,CERRADO_sentinel_gapfill_temporal_v2,2,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_0,1037924.8546679,3,CERRADO_sentinel_gapfill_temporal_v2,3,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_1,4382443.413033213,4,CERRADO_sentinel_gapfill_temporal_v2,3,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_2,79144.6433617134,11,CERRADO_sentinel_gapfill_temporal_v2,3,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_3,257150.42855122354,12,CERRADO_sentinel_gapfill_temporal_v2,3,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_4,339219.64347848593,21,CERRADO_sentinel_gapfill_temporal_v2,3,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_5,53102.426160074574,25,CERRADO_sentinel_gapfill_temporal_v2,3,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_6,11440.783594752367,33,CERRADO_sentinel_gapfill_temporal_v2,3,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_0,1488906.2942706922,3,CERRADO_sentinel_gapfill_temporal_v2,4,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_1,1243771.2284626225,4,CERRADO_sentinel_gapfill_temporal_v2,4,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_2,18601.59462951663,11,CERRADO_sentinel_gapfill_temporal_v2,4,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_3,289057.15214583656,12,CERRADO_sentinel_gapfill_temporal_v2,4,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_4,709340.9662756441,21,CERRADO_sentinel_gapfill_temporal_v2,4,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_5,40236.7222579704,25,CERRADO_sentinel_gapfill_temporal_v2,4,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_6,1449.7651152999902,33,CERRADO_sentinel_gapfill_temporal_v2,4,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_0,455604.2768134524,3,CERRADO_sentinel_gapfill_temporal_v2,5,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_1,5259912.53473867,4,CERRADO_sentinel_gapfill_temporal_v2,5,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_2,26151.68024756773,11,CERRADO_sentinel_gapfill_temporal_v2,5,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_3,443074.244267234,12,CERRADO_sentinel_gapfill_temporal_v2,5,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_4,449050.36335883895,21,CERRADO_sentinel_gapfill_temporal_v2,5,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_5,351838.1744121114,25,CERRADO_sentinel_gapfill_temporal_v2,5,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_6,34123.51899932187,33,CERRADO_sentinel_gapfill_temporal_v2,5,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_0,1455065.180141314,3,CERRADO_sentinel_gapfill_temporal_v2,6,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_1,3205502.504046837,4,CERRADO_sentinel_gapfill_temporal_v2,6,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_2,60248.73001509226,11,CERRADO_sentinel_gapfill_temporal_v2,6,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_3,319421.54963395547,12,CERRADO_sentinel_gapfill_temporal_v2,6,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_4,1705858.8537004371,21,CERRADO_sentinel_gapfill_temporal_v2,6,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_5,108389.10186348166,25,CERRADO_sentinel_gapfill_temporal_v2,6,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_6,86710.27962179409,33,CERRADO_sentinel_gapfill_temporal_v2,6,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_0,705510.8239514767,3,CERRADO_sentinel_gapfill_temporal_v2,7,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_1,5524278.696672446,4,CERRADO_sentinel_gapfill_temporal_v2,7,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_2,78845.92729143088,11,CERRADO_sentinel_gapfill_temporal_v2,7,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_3,487374.1805952085,12,CERRADO_sentinel_gapfill_temporal_v2,7,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_4,659715.203125492,21,CERRADO_sentinel_gapfill_temporal_v2,7,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_5,638649.468449118,25,CERRADO_sentinel_gapfill_temporal_v2,7,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_6,3687.4801447219947,33,CERRADO_sentinel_gapfill_temporal_v2,7,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7_0,887803.7799341334,3,CERRADO_sentinel_gapfill_temporal_v2,8,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7_1,3433489.7504046597,4,CERRADO_sentinel_gapfill_temporal_v2,8,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7_2,244320.15775960192,11,CERRADO_sentinel_gapfill_temporal_v2,8,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7_3,1729478.1883959894,12,CERRADO_sentinel_gapfill_temporal_v2,8,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7_4,628278.4636847712,21,CERRADO_sentinel_gapfill_temporal_v2,8,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7_5,111818.03392608085,25,CERRADO_sentinel_gapfill_temporal_v2,8,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7_6,29728.074668894846,33,CERRADO_sentinel_gapfill_temporal_v2,8,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8_0,2259034.5067052646,3,CERRADO_sentinel_gapfill_temporal_v2,9,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8_1,3387435.7176255104,4,CERRADO_sentinel_gapfill_temporal_v2,9,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8_2,3714214.207697005,11,CERRADO_sentinel_gapfill_temporal_v2,9,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8_3,255742.66100254143,12,CERRADO_sentinel_gapfill_temporal_v2,9,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8_4,2714709.9846134153,21,CERRADO_sentinel_gapfill_temporal_v2,9,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8_5,170424.0346443241,25,CERRADO_sentinel_gapfill_temporal_v2,9,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8_6,154962.62694458404,33,CERRADO_sentinel_gapfill_temporal_v2,9,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9_0,1747239.21083894,3,CERRADO_sentinel_gapfill_temporal_v2,10,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9_1,3712245.87982943,4,CERRADO_sentinel_gapfill_temporal_v2,10,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9_2,146780.2072811817,11,CERRADO_sentinel_gapfill_temporal_v2,10,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
